251	Neuro Divergent Student Union (NDSU)	13	2	Neuro Divergent Student Union (NDSU)|251|	neurodivergent@lclark.edu	Our mission is to provide community and support to and advocate for students at Lewis & Clark College who identify as neurodivergent whether they are professionally diagnosed, self-diagnosed, or undiagnosed.
252	Storage 252	13	2	Storage 252|252|	N/A	N/A
253	Storage 253	13	2	Storage 253|253|	N/A	N/A
254	The Mossy Log	13	2	The Mossy Log|254|Paper Article News	mossylog@lclark.edu	The Mossy Log publishes a website and weekly paper with campus news, opinion articles from students and faculty, and arts and culture listings for campus and the Portland metro area.
255	Storage 255	13	2	Storage 255|255|	N/A	N/A
258	Associated Student Body (ASB)	50	2	Associated Student Body (ASB)|258|Government	asb@lclark.edu	The Associated Student Body (ASB) is the undergraduate student government of Lewis & Clark College and plays a vital role in representing student interests and enhancing the overall campus experience.
263	Amy Dvorak	17	2	Amy Dvorak|263|	adevorak@lclark.edu	Office of Amy Dvorak, Director of the Office of Sustainability.
263	Sustainability Office	17	2	Sustainability Office|263|	adevorak@lclark.edu	The Sustainability Office and the Sustainability Council provide Lewis & Clark students with opportunities to learn, grow, and serve our community and region in an effort to build a more livable world.
266	Council Chamber	16	2	Council Chamber|266|	N/A	With tiered seating for up to 208 and built-in projection capabilities, the Council Chamber hosts many of the major speakers who come to Lewis & Clark
	Career Center	26	2	Career Center||Job	careers@lclark.edu	N/A
	Book Store	29	2	Book Store||Textbook 	sm8259@bncollege.com	Our primary goal is to ensure students are able to obtain the course materials they need at affordable and competitive prices alongside a wide array of other items to support your academic career and school spirit.
280	Mechanical Boiler	16	2	Mechanical Boiler|280|	N/A	N/A
256B	ACM (Association for Computing Machinery)	51	2	ACM (Association for Computing Machinery)|256B|	acmboard@lclark.edu	The Lewis & Clark ACM Chapter aims to unify students interested in computing and related topics.
256B	SEED (Students Engaged in Eco-Defense)	51	2	SEED (Students Engaged in Eco-Defense)|256B|	seed@lclark.edu	Students Engaged in Eco-Defense (SEED) is dedicated to creating a more sustainable and just world. Our focus is to bring green, sustainable practices to Lewis & Clark College and conduct outreach to the larger community.
256B	Club Sports	51	2	Club Sports|256B|	studentengagement@lcalrk.edu	Recognized Club Sports include: Men’s and Women’s Ultimate Frisbee (Bacchus and Artemis), Men’s Club Soccer, Cycling Club, Women’s and Men’s Club Rugby, Triathlon Club
256B	KPH Student Radio	51	2	KPH Student Radio|256B|	kphradio@lclark.edu	KPH Radio broadcasts student-generated content over the internet. Cultivating a Lewis & Clark presence in the local music scene through ticket giveaways and on our blog, but also on campus with our recording studio and events.
257C	IDF Closet	51	2	IDF Closet|257C|	N/A	N/A
	Bon Appetit Market	47	2	Bon Appetit Market||	503-768-7890	The Bon Appetit marketplace makes it easy to grab snack essentials for your room without leaving campus
310	Stamm Dining Hall	93	3	Stamm Dining Hall|310|	events@lclark.edu	Stamm Dining Hall is often the home of large student events. With plenty of room for dining and dancing, this space features large windows and audiovisual capability.
320	Andrea Salyer	84	3	Andrea Salyer|320|	andreasalyer@lclark.edu	Office of Andrea Salyer, Director of the Center for Social Change and Community Involvement
321	Center for Social Change and Community Involement	85	3	Center for Social Change and Community Involement|321|	leadserve@lclark.edu	The Center for Social Change and Community Involvement offers a number of programs to prepare Lewis & Clark undergraduate students to engage impactfully, both locally and globally, in order to bring about active citizenship and social change.
323	Erin Khong's Office	86	3	Erin Khong's Office|323|	ekhong@lclark.edu	Office of the Assistant Director of Inclusion & Multicultural Engagement
324	Joann Zhang's Office	86	3	Joann Zhang's Office|324|	joannz@lclark.edu	Office of the Director of Inclusion and Multicultural Engagement
325	Office of Inclusion and Multicultural Engagement	86	3	Office of Inclusion and Multicultural Engagement|325|IME	joannz@lclark.edu	The Office of Inclusion and Multicultural Engagement (IME) aims to support all students, especially those who identify as students of color, first-generation and/or LGBTQIA+ to achieve academic, social, personal, and professional success. We empower and support our students to be conscious, inclusive, and change agents for the future.
327	Quiet study space	86	3	Quiet study space|327|	N/A	Avaliable room for use unless booked
350	Meeting Room 350	72	3	Meeting Room 350|350|Study	N/A	Avaliable room for use unless booked
352	Meeting Room 352	73	3	Meeting Room 352|352|Study	N/A	Avaliable room for use unless booked
353	Meeting Room 353	76	3	Meeting Room 353|353|Study	N/A	Avaliable room for use unless booked
354	Gender Neutral Bathroom	77	3	Gender Neutral Bathroom|354|Loo Water closet rest room	N/A	N/A
355	Hu Media Lounge	79	3	Hu Media Lounge|355|	N/A	Named for Trustee Heidi Hu BS ’85, this room contains a large couch, tables, and multiple avaliable TVs
	Kitchen	80	3	Kitchen||	N/A	Fields dining hall kitchen
	Fields Dining Hall	81	3	Fields Dining Hall||Bon	503-768-7890	Fields is our main dining hall on the undergraduate campus, serving breakfast, lunch, and dinner.
	Trail Room	23	2	Trail Room||Troom	503-768-7000	The Trail Room provides delicious fries, pizza, and grab-and-go sandwiches or wraps, along with a full-service coffee bar featuring beans from Portland Coffee Roasters! 
	Star Floor 1	99	1	Star Floor 1||Map	N/A	N/A
	Star Floor 2	55	2	Star Floor 2||Map	N/A	N/A
	Star Floor 3	98	3	Star Floor 3||Map	N/A	N/A
	Templeton Plaza	46	2	Templeton Plaza||Nielson Courtyard	N/A	Outdoor space on floor 2
